year,FIPS,WaterSupply.Surface.Fresh,WaterSupply.Surface.Saline,WaterSupply.Surface.Total,WaterSupply.Ground.Fresh,WaterSupply.Ground.Saline,WaterSupply.Ground.Total,WaterSupply.Total.Abstraction,WaterSupply.Total.TotalUse,WaterSupply.OtherUnits,Household.Surface.Fresh,Household.Surface.Saline,Household.Ground.Fresh,Household.Ground.Saline,Household.Total.Abstraction,Household.OtherUnts,Household.TotalUse,Irrigation.Crop.Total.Abstraction,Irrigation.Crop.TotalUse,Irrigation.Golf.Total.Abstraction,Irrigation.Golf.TotalUse,Animal.Total.Abstraction,Animal.TotalUse,Aquaculture.Total.Abstraction,Aquaculture.TotalUse,Manufacturing.Total.Abstraction,Manufacturing.TotalUse,Mining.Total.Abstraction,Mining.TotalUse,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
2000,37079,0,0,0,2.05,0,2.05,2.05,2.05,0,0,0,0.25,0,0.25,-0.25,0,1.3599999999999999,1.3599999999999999,0,0,2.27,2.27,0,0,0,0,0,0,21008,8316,7259,4781,871,18339,3870,3195,4388,4377,893,11145,988,96,3191,252,537,2408,3098,14564
2000,37081,55.86,0,55.86,0.79,0,0.79,56.65,56.65,0,0,0,10.87,0,10.87,-10.87,0,1.5499999999999998,1.5499999999999998,4.37,4.37,0.33999999999999997,0.33999999999999997,0,0,1.25,1.25,0.55,0.55,523582,226743,202731,80771,16011,29708,37932,75740,117830,57584,21939,257199,13820,31582,6991,4643,13047,18602,52319,553980
2000,37083,5.99,0,5.99,0.54,0,0.54,6.53,6.53,0,0,0,1.19,0,1.19,-1.19,0,2.13,2.13,0.48,0.48,0.8999999999999999,0.8999999999999999,0,0,26,26,0.13,0.13,51737,25919,21116,12684,1851,21016,8203,10103,11175,9699,2598,31800,236,801,5686,329,2442,1430,5735,45372
2000,37085,9.69,0,9.69,0.31,0,0.31,10,10,0,0,0,0.36,0,0.36,-0.36,0,2.6,2.6,0.79,0.79,2.5199999999999996,2.5199999999999996,0,0,1.07,1.07,0.7,0.7,130361,51230,45086,21495,4338,23011,11435,15414,34765,16689,4762,49831,2210,629,11099,1054,2431,3241,14086,98822
2000,37087,6.1,0,6.1,0.07,0,0.07,6.17,6.17,0,0,0,1.55,0,1.55,-1.55,0,0.41,0.41,0.72,0.72,0.32,0.32,0,0,24.83,24.83,0.09,0.09,60433,35398,26336,8304,1319,29453,5383,14548,11069,10530,2001,4300,430,593,6397,428,1176,504,6453,47678
2000,37089,8.15,0,8.15,0.3,0,0.3,8.450000000000001,8.450000000000001,0,0,0,2.93,0,2.93,-2.93,0,2.01,2.01,1.2,1.2,0.21000000000000002,0.21000000000000002,0,0,0.12,0.12,0.13,0.13,113625,56939,48281,11926,1535,29860,8546,28504,22002,16810,3027,19068,2908,1948,8753,1096,2267,1415,12919,101345
2000,37091,0,0,0,1.68,0,1.68,1.68,1.68,0,0,0,0.7,0,0.7,-0.7,0,3.8899999999999997,3.8899999999999997,0.32,0.32,1.1700000000000002,1.1700000000000002,0,0,0.82,0.82,0.01,0.01,24153,10632,8899,5125,1145,18918,3477,4532,4632,4878,1091,16075,232,253,2780,206,878,2206,2789,24421
2000,37093,0,0,0,1.5,0,1.5,1.5,1.5,0,0,0,0.64,0,0.64,-0.64,0,0.060000000000000005,0.060000000000000005,0.4,0.4,0.26,0.26,0,0,0.45,0.45,0,0,53239,20709,17722,10823,1888,20656,4769,4819,14850,8401,2084,31774,1448,143,4120,398,936,1509,6307,37261
2000,37095,0,0,0,0.83,0,0.83,0.83,0.83,0,0,0,0.04,0,0.04,-0.04,0,1.33,1.33,0,0,0.03,0.03,0,0,0,0,0,0,5393,3249,1769,1062,231,18433,709,887,1165,673,189,2215,122,18,546,75,20,655,753,5216
2000,37097,7.8,0,7.8,2.05,0,2.05,9.85,9.85,0,0,0,4.66,0,4.66,-4.66,0,0.6699999999999999,0.6699999999999999,1.4300000000000002,1.4300000000000002,1.4,1.4,0,0,0.04,0.04,0.14,0.14,172525,72834,65246,20230,5349,32006,13015,26249,40440,22506,6022,40981,2835,3213,9889,1658,2199,1286,16451,161046
2000,37099,0.87,0,0.87,0.41,0,0.41,1.28,1.28,0,0,0,1.21,0,1.21,-1.21,0,0.22,0.22,0.75,0.75,0.03,0.03,0,0,0,0,0.09999999999999999,0.09999999999999999,42256,27073,16642,7439,926,24073,3141,7976,7163,5915,1278,8054,576,1059,4810,371,880,3720,5466,39713
